dn_id,invoice_id,customer_id,delivery_date,delivery_method,dn_return_date,status_dn,customer_name,customer_type,region,alamat,payment_terms,customer_status
DN240001,009501,RSS011,2024-10-11,Internal,2024-11-06,Late,RS Halim,RS Swasta,Jakarta Timur,"Jalan S. Parman No. 40, Binjai, DI Yogyakarta 18640",NET 30,Active
DN240002,009502,RSS011,2024-10-12,Internal,,Pending,RS Halim,RS Swasta,Jakarta Timur,"Jalan S. Parman No. 40, Binjai, DI Yogyakarta 18640",NET 30,Active
DN240003,009503,RSS052,2024-09-10,Internal,2024-09-16,Received,RS Mansur,RS Swasta,Jakarta Selatan,"Jalan Jamika No. 8, Salatiga, KR 58806",NET 30,Active
DN240004,009504,KLN073,2024-02-15,Third-Party Courier,2024-02-20,Received,Klinik Maryati,Klinik,Jakarta Barat,"Jl. M.H Thamrin No. 7, Kota Administrasi Jakarta Barat, ST 47314",NET 30,Active
DN240005,009505,KLN073,2024-02-15,Internal,2024-02-24,Received,Klinik Maryati,Klinik,Jakarta Barat,"Jl. M.H Thamrin No. 7, Kota Administrasi Jakarta Barat, ST 47314",NET 30,Active
DN240006,009506,RSS050,2024-05-31,Internal,2024-06-06,Received,RS Kusmawati,RS Swasta,Bogor,"Jalan Ahmad Yani No. 8, Sukabumi, Sulawesi Selatan 16774",NET 30,Active
DN240007,009507,RSS050,2024-06-02,Third-Party Courier,2024-06-08,Received,RS Kusmawati,RS Swasta,Bogor,"Jalan Ahmad Yani No. 8, Sukabumi, Sulawesi Selatan 16774",NET 30,Active
DN240008,009508,RSS068,2024-09-16,Internal,2024-09-18,Received,RS Natsir,RS Swasta,Depok,"Jalan Raya Ujungberung No. 545, Singkawang, NT 12169",NET 30,Active
DN240009,009509,RSP005,2024-12-12,Third-Party Courier,2024-12-20,Received,RSUD Pertiwi,RS Pemerintah,Depok,"Jl. Jend. Sudirman No. 40, Cimahi, KB 37680",NET 45,Active
DN240010,009510,RSP030,2024-06-21,Internal,2024-06-29,Received,RSUD Wijayanti,RS Pemerintah,Bekasi,"Gg. Jamika No. 4, Manado, Nusa Tenggara Timur 29464",NET 45,Active
DN240011,009511,KLN011,2024-04-08,Third-Party Courier,2024-04-11,Received,Klinik Agustina,Klinik,Bekasi,"Jl. Joyoboyo No. 1, Padangpanjang, Sumatera Selatan 43471",NET 30,Active
DN240012,009512,KLN011,2024-04-09,Third-Party Courier,2024-04-15,Received,Klinik Agustina,Klinik,Bekasi,"Jl. Joyoboyo No. 1, Padangpanjang, Sumatera Selatan 43471",NET 30,Active
DN240013,009513,RSP024,2024-09-19,Internal,2024-09-25,Received,RSUD Yuniar,RS Pemerintah,Bekasi,"Jl. Wonoayu No. 5, Kota Administrasi Jakarta Selatan, Nusa Tenggara Barat 20154",NET 45,Active
DN240014,009514,KLN030,2024-01-07,Internal,2024-01-15,Received,Klinik Laksita,Klinik,Jakarta Selatan,"Gang Suryakencana No. 17, Prabumulih, JT 35347",NET 30,Active
DN240015,009515,KLN014,2024-01-26,Internal,2024-01-30,Received,Klinik Sitompul,Klinik,Jakarta Utara,"Gang H.J Maemunah No. 03, Kotamobagu, KS 13013",NET 30,Active
DN240016,009516,KLN016,2024-12-22,Internal,2025-01-19,Late,Klinik Wasita,Klinik,Jakarta Selatan,"Gang Sukajadi No. 69, Palopo, Nusa Tenggara Barat 36878",NET 30,Active
